0,1,8
1,0,2,9
2,1,3,10
3,2,4,11
4,3,5,12
5,4,6,13
6,5,7,14
7,6,15
8,0,9,16
9,1,8,10,17
10,2,9,11,18
11,3,10,12,19
12,4,11,13,20
13,5,12,14,21
14,6,13,15,22
15,7,14,23
16,8,17,24
17,9,16,18,25
18,10,17,19,26
19,11,18,20,27
20,12,19,21,28
21,13,20,22,29
22,14,21,23,30
23,15,22,31
24,16,25,32
25,17,24,26,33
26,18,25,27,34
27,19,26,28,35
28,20,27,29,36
29,21,28,30,37
30,22,29,31,38
31,23,30,39
32,24,33,40
33,25,32,34,41
34,26,33,35,42
35,27,34,36,43
36,28,35,37,44
37,29,36,38,45
38,30,37,39,46
39,31,38,47
40,32,41,48
41,33,40,42,49
42,34,41,43,50
43,35,42,44,51
44,36,43,45,52
45,37,44,46,53
46,38,45,47,54
47,39,46,55
48,40,49,56
49,41,48,50,57
50,42,49,51,58
51,43,50,52,59
52,44,51,53,60
53,45,52,54,61
54,46,53,55,62
55,47,54,63
56,48,57
57,49,56,58
58,50,57,59
59,51,58,60
60,52,59,61
61,53,60,62
62,54,61,63
63,55,62
