p, p de transición
0.00000,0.00000
0.01000,0.00000
0.02000,0.00000
0.03000,0.00000
0.04000,0.02083
0.05000,0.00000
0.06000,0.00000
0.07000,0.02105
0.08000,0.03061
0.09000,0.00000
0.10000,0.02062
0.11000,0.04124
0.12000,0.02062
0.13000,0.06383
0.14000,0.05051
0.15000,0.04040
0.16000,0.07216
0.17000,0.03093
0.18000,0.06122
0.19000,0.11340
0.20000,0.08163
0.21000,0.12371
0.22000,0.05208
0.23000,0.21000
0.24000,0.14141
0.25000,0.14141
0.26000,0.16667
0.27000,0.18182
0.28000,0.21429
0.29000,0.21429
0.30000,0.27273
0.31000,0.23711
0.32000,0.28571
0.33000,0.42857
0.34000,0.42268
0.35000,0.38542
0.36000,0.36170
0.37000,0.46465
0.38000,0.48454
0.39000,0.56566
0.40000,0.64646
0.41000,0.56566
0.42000,0.73469
0.43000,0.67347
0.44000,0.63265
0.45000,0.70833
0.46000,0.79592
0.47000,0.84211
0.48000,0.80000
0.49000,0.89000
0.50000,0.93000
0.51000,0.88889
0.52000,0.91919
0.53000,0.95789
0.54000,0.94845
0.55000,0.96774
0.56000,0.97959
0.57000,1.00000
0.58000,0.96939
0.59000,1.00000
0.60000,1.00000
0.61000,1.00000
0.62000,1.00000
0.63000,1.00000
0.64000,1.00000
0.65000,1.00000
0.66000,1.00000
0.67000,1.00000
0.68000,1.00000
0.69000,1.00000
0.70000,1.00000
0.71000,1.00000
0.72000,1.00000
0.73000,1.00000
0.74000,1.00000
0.75000,1.00000
0.76000,1.00000
0.77000,1.00000
0.78000,1.00000
0.79000,1.00000
0.80000,1.00000
0.81000,1.00000
0.82000,1.00000
0.83000,1.00000
0.84000,1.00000
0.85000,1.00000
0.86000,1.00000
0.87000,1.00000
0.88000,1.00000
0.89000,1.00000
0.90000,1.00000
0.91000,1.00000
0.92000,1.00000
0.93000,1.00000
0.94000,1.00000
0.95000,1.00000
0.96000,1.00000
0.97000,1.00000
0.98000,1.00000
0.99000,1.00000
